date,upi_volume,upi_value,Volume_Growth,Value_Growth,Rolling_Mean_Growth,Rolling_Volatility
2025-02-03,5823.91,93245.74,-0.01557291701881669,0.23307326310555587,0.0017224282953338167,0.03706966769175997
2025-02-04,5764.18,91126.6,-0.010255996401043244,-0.022726400155116955,0.001720763975366295,0.03707020710482245
2025-02-05,5856.8,89847.56,0.016068200507270758,-0.014035857806611984,0.0016354470462355897,0.037026811429329023
2025-02-06,5793.2,85577.46,-0.010859172244228943,-0.04752605412990618,0.0009130952925495206,0.036551125666697507
2025-02-07,5821.64,83661.64,0.004909203894220893,-0.022386969652990474,0.0012949640026282039,0.03638943017832755
2025-02-08,5848.37,78394.48,0.004591489683319461,-0.06295788607538655,-0.0004461588322789034,0.0316752305611277
2025-02-09,5846.95,67170.58,-0.0002428026954519602,-0.1431720702784175,0.0015159444844023706,0.02472577374328675
2025-02-10,5928.16,92183.3,0.013889292708164191,0.3723761206170917,0.0015736324166909477,0.02474805811034111
2025-02-11,5810.57,85320.26,-0.019835834390434792,-0.07444992748144197,0.0017007739942097233,0.02460321459264812
2025-02-12,5894.27,82436.06,0.014404783007519129,-0.03380439768936472,0.0014137979295785153,0.02428067386607569
2025-02-13,5742.83,77947.95,-0.02569274905968011,-0.0544435287178936,0.001127718743815389,0.02443087297105777
2025-02-14,5872.38,77266.11,0.022558564331522923,-0.008747375652598866,0.0013275891221478785,0.024524382755363814
2025-02-15,5710.54,76162.54,-0.027559524417697823,-0.014282717222337316,0.0012059652708718204,0.024638058585565052
2025-02-16,5530.48,59017.87,-0.03153116868107053,-0.22510633180038364,0.0008810813056862166,0.024854620176095833
2025-02-17,5624.3,77737.39,0.01696416947534396,0.3171839309009288,0.0008708251093097885,0.024847699645369283
2025-02-18,5571.15,73824.81,-0.009450064896965094,-0.050330735312826946,0.0007834971296461946,0.02486867440622763
2025-02-19,5647.58,73200.56,0.01371889107275881,-0.008455829415612404,0.0008500759070283925,0.024894549247011098
2025-02-20,5621.19,74075.68,-0.004672797906359993,0.011955099797050561,0.0009616493029531004,0.02484398742223888
2025-02-21,5647.7,71739.87,0.004716083249276526,-0.03153275136995026,0.0009626581608712703,0.024844139331049727
2025-02-22,5654.72,67795.92,0.0012429838695398043,-0.054975705977721945,0.0010853779434851119,0.024814598889781547
2025-02-23,5605.4,54660.38,-0.008721917265576473,-0.19375118738708763,0.001369432592447255,0.0245337464532305
2025-02-24,5634.82,75820.65,0.005248510365005288,0.3871226288584162,0.0009727054270070789,0.024139978157685767
2025-02-25,5765.01,76593.92,0.02310455347287066,0.010198672789009322,0.0015087012459212312,0.02402902018050203
2025-02-26,5520.81,62994.82,-0.04235898983696473,-0.17754803514430384,0.0010922506742581583,0.02442553689002163
2025-02-27,5554.77,75714.97,0.0061512712808446945,0.20192374547621528,0.0012868381601721546,0.02438714131260773
2025-02-28,6006.62,97508.29,0.0813445021125987,0.28783370052183854,0.0020401289764714827,0.02566463172571788
2025-03-01,6314.25,101627.92,0.05121515927426734,0.042249023134340646,0.00249511590492556,0.02612955787455934
2025-03-02,6080.29,79157.48,-0.03705269826186797,-0.22110498768448672,0.00209356397848798,0.02642698383349963
2025-03-03,5994.47,97185.42,-0.014114458356426995,0.22774777569978233,0.002168373499286501,0.026369774327800674
2025-03-04,5945.58,93483.95,-0.008155850308701251,-0.03808668008020133,0.00205884930025231,0.026389876047741352
2025-03-05,5962.65,93034.38,0.0028710403358460646,-0.004809060806694521,0.0020559563003517446,0.02638976993376621
2025-03-06,5841.0,87477.02,-0.020402002465346736,-0.05973447665260945,0.0019892229228094613,0.02643848130459189
2025-03-07,5979.96,87218.22,0.023790446841294388,-0.002958491270050101,0.002053746164530541,0.026484152759540996
2025-03-08,6057.62,81507.5,0.0129867089411968,-0.06547622732956482,0.0021621586262130467,0.026506711619801084
2025-03-09,6047.83,68403.22,-0.0016161462752698474,-0.16077391651075057,0.0018491668783741499,0.026362862472003097
2025-03-10,6110.43,95763.57,0.010350820046198361,0.399986287195252,0.0016594008824647466,0.02623103911123295
2025-03-11,5778.13,84906.83,-0.054382424804801044,-0.11337025133879208,0.0008300977874687521,0.026679465711592326
2025-03-12,6017.22,87615.79,0.041378439045158144,0.031905089378557516,0.0010611949534908216,0.026930947414161324
2025-03-13,6421.01,85570.94,0.06710573985993529,-0.02333882967898815,0.0018235985488234774,0.02770736661072034
2025-03-14,5149.85,51067.26,-0.1979688553669905,-0.4032172604391163,-0.0002748904765912519,0.0341384059247694
2025-03-15,5807.63,71801.28,0.127727992077439,0.40601395101284066,0.001104065117646571,0.036442062247297166
2025-03-16,5721.5,59622.54,-0.01483049023439853,-0.1696173104434907,0.001104015825448036,0.03644208401497086
2025-03-17,5803.52,80668.23,0.014335401555536142,0.3529821104568842,0.001069201811252768,0.03642761666877259
2025-03-18,5726.43,76988.31,-0.013283317710630849,-0.04561795889162312,0.0010820696736132075,0.03642226324575781
2025-03-19,5761.34,76504.71,0.0060962938514921294,-0.006281473122347947,0.001198594333122418,0.036419450781173014
2025-03-20,5758.2,78037.44,-0.0005450120978800488,0.020034452780750334,0.0011058050915720896,0.03641187802797315
2025-03-21,5763.75,74557.68,0.0009638428675629029,-0.04459090405835975,0.001129861914854695,0.036410972521795135
2025-03-22,5842.26,70233.03,0.013621340273259674,-0.058004084891053354,0.0015792518719368554,0.036283554111098563
2025-03-23,5874.4,58953.84,0.0055012957314461985,-0.16059665943502655,0.0014875669380335044,0.03626171886427842
2025-03-24,5784.36,79820.41,-0.015327522810840266,0.3539475969673902,0.0013764969523188252,0.03629637326797447
2025-03-25,5817.44,79710.62,0.005718869503281265,-0.001375462741922906,0.0014913421614985466,0.03629171532227512
2025-03-26,5505.09,75842.65,-0.05369200198025237,-0.04852515260827228,0.0009157864482879829,0.03670772069082527
2025-03-27,5974.65,81231.4,0.08529560824618665,0.07105171035031077,0.001780697670158301,0.037663972640100386
2025-03-28,6052.43,84515.18,0.013018335802097214,0.04042500806338434,0.0019663351319504875,0.03767324630027681
2025-03-29,6271.91,87115.79,0.03626312076306526,0.030770921862794287,0.002306354017363037,0.03782905414985854
2025-03-30,6192.67,71617.99,-0.01263410986445912,-0.17789886311080905,0.0021829077882625516,0.03785774164225558
