date,upi_volume,upi_value
2022-04-11,1920.92,37147.71
2022-04-12,1934.32,36141.16
2022-04-13,1959.35,35735.22
2022-04-14,1854.34,30183.26
2022-04-15,1807.44,28138.64
2022-04-16,1847.21,30322.18
2022-04-17,1776.11,23899.87
2022-04-18,1847.09,34476.4
2022-04-19,1848.4,33348.27
2022-04-20,1863.96,33512.38
2022-04-21,1833.63,31649.72
2022-04-22,1841.32,30687.21
2022-04-23,1830.43,28361.39
2022-04-24,1679.09,22341.42
2022-04-25,1821.6,33631.18
2022-04-26,1820.41,32293.94
2022-04-27,1832.81,32147.43
2022-04-28,1814.81,31645.31
2022-04-29,1849.56,34089.13
2022-04-30,1986.29,38589.29
2022-05-01,2053.98,35380.47
2022-05-02,2082.15,43127.73
2022-05-03,1861.51,32528.65
2022-05-04,1944.96,39142.74
2022-05-05,1995.45,40116.7
2022-05-06,1972.09,38218.9
2022-05-07,2060.59,37753.22
2022-05-08,1954.13,28907.36
2022-05-09,1994.1,39710.68
2022-05-10,1942.99,37570.27
2022-05-11,1974.23,36863.35
2022-05-12,1848.24,33771.63
2022-05-13,1943.36,37429.32
2022-05-14,1927.89,31230.91
2022-05-15,1884.54,25653.0
2022-05-16,1887.69,33249.98
2022-05-17,1872.92,33295.35
2022-05-18,1949.01,34027.49
2022-05-19,1901.9,32947.73
2022-05-20,1900.24,31912.52
2022-05-21,1898.0,30865.04
2022-05-22,1826.09,23763.95
2022-05-23,1870.32,32828.94
2022-05-24,1890.05,31870.42
2022-05-25,1883.82,31845.24
2022-05-26,1846.09,31197.03
2022-05-27,1834.86,29522.85
2022-05-28,1860.93,29069.75
2022-05-29,1852.2,23047.36
2022-05-30,1836.45,33628.62
2022-05-31,1912.11,39743.33
2022-06-01,1976.68,42008.82
2022-06-02,2186.08,43887.84
2022-06-03,2050.04,38200.28
2022-06-04,1859.27,35010.94
2022-06-05,2222.02,34073.12
2022-06-06,2020.38,39158.04
2022-06-07,1995.9,37704.57
2022-06-08,2146.97,38922.92
2022-06-09,2042.38,36686.89
2022-06-10,2021.75,36538.99
2022-06-11,2037.13,33508.5
2022-06-12,1952.53,26074.45
2022-06-13,2006.68,37447.27
2022-06-14,1986.69,34441.89
2022-06-15,2040.5,35105.4
2022-06-16,2017.36,34093.76
2022-06-17,1962.92,32304.39
2022-06-18,1818.97,29385.68
2022-06-19,1670.82,22291.5
2022-06-20,1878.08,34282.55
2022-06-21,1904.54,32914.38
2022-06-22,1885.5,31969.65
2022-06-23,1854.26,30994.9
2022-06-24,1904.89,31022.28
2022-06-25,1898.02,29437.83
2022-06-26,1865.08,23014.68
2022-06-27,1908.78,33292.2
2022-06-28,1865.29,31372.09
2022-06-29,1850.76,32020.73
2022-06-30,1798.81,37246.08
2022-07-01,2110.38,43831.02
2022-07-02,2134.15,42108.81
2022-07-03,2049.51,32114.33
2022-07-04,2093.17,42995.32
2022-07-05,2077.94,41456.59
2022-07-06,2093.44,39822.21
2022-07-07,2120.26,39624.23
2022-07-08,2079.58,37817.79
2022-07-09,2100.71,35896.16
2022-07-10,1932.44,26632.94
2022-07-11,2000.96,37142.02
2022-07-12,2011.21,35038.16
2022-07-13,1989.5,34242.77
2022-07-14,2023.58,34743.09
2022-07-15,2019.0,33702.42
2022-07-16,2013.56,32704.58
2022-07-17,1975.48,25086.78
2022-07-18,1980.21,33652.23
2022-07-19,1997.15,32665.89
2022-07-20,2060.07,34113.78
2022-07-21,1995.59,32083.3
2022-07-22,1984.87,30587.13
2022-07-23,1961.15,29270.86
2022-07-24,1922.39,23283.4
2022-07-25,1963.87,33362.36
2022-07-26,1951.14,31535.55
2022-07-27,2030.82,32141.8
2022-07-28,1971.07,31311.84
2022-07-29,2039.83,35222.25
2022-07-30,2132.19,38375.84
2022-07-31,2078.18,30551.59
2022-08-01,2171.27,43568.17
2022-08-02,2231.53,42085.99
2022-08-03,2115.76,38693.87
2022-08-04,2168.76,40079.82
2022-08-05,2048.27,35859.8
2022-08-06,2254.73,39064.52
2022-08-07,2124.83,29906.75
2022-08-08,2162.0,39627.08
2022-08-09,2104.64,34997.87
2022-08-10,2258.23,41043.38
2022-08-11,2258.37,36349.91
2022-08-12,2094.52,33508.36
2022-08-13,2087.53,32266.78
2022-08-14,1992.48,25307.67
2022-08-15,1946.64,25414.14
2022-08-16,2087.37,35358.46
2022-08-17,2134.04,36034.3
2022-08-18,2145.22,35365.86
2022-08-19,2072.71,31204.93
2022-08-20,2103.98,33072.27
2022-08-21,2012.59,25174.59
2022-08-22,2098.1,35304.68
2022-08-23,2065.06,33735.52
2022-08-24,2082.78,33988.13
2022-08-25,2106.28,34666.38
2022-08-26,2051.4,32104.76
2022-08-27,2146.53,31003.69
2022-08-28,2133.36,24581.62
2022-08-29,2138.82,36565.66
2022-08-30,2255.78,40909.83
2022-08-31,2165.48,36317.38
2022-09-01,2312.02,46102.69
2022-09-02,2344.38,42755.56
2022-09-03,2343.42,41387.77
2022-09-04,2222.1,32092.83
2022-09-05,2321.17,44581.11
2022-09-06,2288.42,41284.01
2022-09-07,2298.87303,41648.127338035
2022-09-08,2269.81472,39016.032615582
2022-09-09,2220.49,37027.98
2022-09-10,2249.38,36076.21
2022-09-11,2222.64,28818.13
2022-09-12,2242.62,39419.29
2022-09-13,2219.11,37206.64
2022-09-14,2253.62,37938.12
