bank,market_share,market_share_squared,HHI
the varachha coop bank ltd surat,0.00019592392390438356,3.838618395809068e-08,0.10041754106594854
bassein catholic cooperative bank,0.00019241896091125063,3.70250565181654e-08,0.10041754106594854
paytm,0.00018603781323913105,3.46100679547978e-08,0.10041754106594854
dombivli nagarik sahakari,0.0001856195058410222,3.445460094866528e-08,0.10041754106594854
the kerala state cooperative bank,0.00018464070078533625,3.409218838650007e-08,0.10041754106594854
assam gramin vikash,0.00017991071974124995,3.2367867077814584e-08,0.10041754106594854
mehsana urban,0.00017826844114017857,3.177963710654931e-08,0.10041754106594854
apna sahakari bank,0.0001732746598037711,3.0024107730112605e-08,0.10041754106594854
saurashtra gramin bankimps,0.0001724446883990483,2.9737170557044863e-08,0.10041754106594854
the akola district central coopbank,0.00017198072830689373,2.95773709089696e-08,0.10041754106594854
himachal pradesh gramin,0.00017006837208447223,2.8923251183462493e-08,0.10041754106594854
rajkot nagrik sahakari bank,0.0001680389914259665,2.823710263945604e-08,0.10041754106594854
kotak mahindra bank credit card,0.0001542713560508764,2.379965129777628e-08,0.10041754106594854
the andhra pradesh state cooperative bank,0.0001521149248059025,2.3138950348705373e-08,0.10041754106594854
the nainital bank,0.0001520560067913309,2.3121029201325268e-08,0.10041754106594854
ahmedabad district,0.00014990332114076196,2.2471005689030414e-08,0.10041754106594854
kalyan janata sahakari,0.00014921464269519144,2.2265009594653648e-08,0.10041754106594854
federal bank,0.00014611852886105216,2.1350624476518134e-08,0.10041754106594854
the satara district central coop bank ltd satara,0.0001449578474381756,2.101277753390939e-08,0.10041754106594854
tamil nadu grama,0.0001437960351984043,2.0677299738780727e-08,0.10041754106594854
nsdl payments,0.00014346126417660773,2.058113431915043e-08,0.10041754106594854
mahanagar,0.00014108216967559438,1.9904178600373202e-08,0.10041754106594854
the hongkong and shanghai banking corporation limi,0.00013796829989278877,1.90352517753065e-08,0.10041754106594854
tripura gramin,0.00013795257740176079,1.9030913611788802e-08,0.10041754106594854
jammu and kashmir gramin,0.00013537561509402454,1.8326557162085485e-08,0.10041754106594854
general post office,0.0001344622394723529,1.808009384392038e-08,0.10041754106594854
nkgsb,0.0001314507343471792,1.7279295560412678e-08,0.10041754106594854
the sabarkantha dist cent coop bank,0.00013039422308806155,1.7002653414739163e-08,0.10041754106594854
capital small finance bank,0.0001251000516246331,1.5650022916485865e-08,0.10041754106594854
karur vysya bank,0.00011650380366789201,1.3573136269086728e-08,0.10041754106594854
aryavart,0.00011197539472563283,1.2538489023961281e-08,0.10041754106594854
canara bank credit card,0.00011194585562878039,1.2531874592459743e-08,0.10041754106594854
punjab national bank credit card,0.00010844137905478498,1.175953269130356e-08,0.10041754106594854
shri chhatrapati rajarshi shahu urban coop bank ltd beed,0.00010495968502342008,1.1016535480215553e-08,0.10041754106594854
the surat district,0.00010396622862880586,1.0808976695297131e-08,0.10041754106594854
unity small finance,0.00010292925414852216,1.0594431359571067e-08,0.10041754106594854
citi,0.00010127125037675741,1.0255866152871889e-08,0.10041754106594854
the thane dist central co op bank,9.769935875244525e-05,9.545164700638999e-09,0.10041754106594854
the adarsh cooperative urban bank,9.578954578749582e-05,9.175637082174758e-09,0.10041754106594854
telangana state cooperative apex bank,9.219674540043504e-05,8.50023986243264e-09,0.10041754106594854
paypoint india network private,8.933769396945048e-05,7.98122356377919e-09,0.10041754106594854
