entity name,remitter_volume,remitter_value,beneficiary_volume,beneficiary_value,avg_remitter_ticket,avg_beneficiary_ticket,total_volume,avg_ticket,bank_segment
devika urban cooperative bank,0.00047,0.4017802,0.0028,1.309162,854.8514893617021,467.55785714285713,0.00327,661.2046732522796,Niche / Regional Bank
dhakuria co op bank,0.00226,0.93675664,0.00247,0.9113449,414.4940884955753,368.9655465587045,0.00473,391.72981752713986,Niche / Regional Bank
dhanalakshmi,1459.70473,23266.964683000002,934.40635,20324.8950289,15.939500780407831,21.751666209139096,2394.1110799999997,18.845583494773464,Universal Bank
dhanalakshmi bank,0.7506,384.7848568,0.67421,485.5341572,512.6363666400213,720.1527079099984,1.42481,616.3945372750098,Universal Bank
dhanera mercantile coop bank,58.77986,1093.62937081,26.544069999999998,1022.20761181,18.60551166351876,38.50982957059713,85.32392999999999,28.557670617057944,Universal Bank
dhanera mercantile cooperative bank,0.04884,41.96178649,0.03947,32.88654805,859.1684375511876,833.2036496072967,0.08831,846.1860435792421,Universal Bank
dharmapuri district central coop bank,74.76055,944.92788034,35.02736,854.73364607,12.63939176932219,24.401886013390673,109.78791,18.52063889135643,Universal Bank
dharmavir sambhaji urban cooperative bank,0.0,0.0,0.04694,12.0230104,,256.1357136770345,0.04694,,Niche / Regional Bank
dhule and nandurbar jilha sarkari nokaranchi,0.0,0.0,0.0001,0.208089,,2080.89,0.0001,,Niche / Regional Bank
dhule vikas shakari bank,0.37161,12.500990039,0.16303,9.689643894,33.640079758348804,59.434729154143405,0.53464,46.53740445624611,Universal Bank
dilip urban cooperative bank,12.37147,195.783396429,7.42405,164.751149717,15.825394753331656,22.191546355021856,19.79552,19.008470554176757,Universal Bank
dindigul central coop bank,0.00262,4.051379161,0.00979,10.59246437,1546.3279240458014,1081.967759959142,0.012410000000000001,1314.1478420024719,Niche / Regional Bank
dindigul district central,44.87085,515.93228393,23.53311,476.11736346,11.498161588871174,20.231808012625613,68.40396,15.864984800748394,Universal Bank
district co operative bank ltd faizabad,0.00054,0.6613725,0.00024,0.6166513,1224.763888888889,2569.380416666667,0.00078,1897.0721527777778,Niche / Regional Bank
district co operative bank ltd raebareli,0.0,0.0,0.00181,5.0403417,,2784.719171270718,0.00181,,Niche / Regional Bank
district coop bank ltd sharanpur,0.00311,9.496075912,0.00392,9.1627667,3053.4006147909968,2337.440484693878,0.00703,2695.4205497424373,Niche / Regional Bank
district cooperative bank,0.01246,23.46460599,0.02412,26.85820058,1883.194702247191,1113.5240704809287,0.03658,1498.35938636406,Corporate Bank
district cooperative bank ltd barabanki,0.00062,0.8938001,0.00056,0.3269085,1441.613064516129,583.7651785714286,0.00118,1012.6891215437788,Niche / Regional Bank
