entity name,remitter_value,beneficiary_value,remitter_share_%,beneficiary_share_%
garagepreneurs internet private limited slice,1547.38032,1220.659229,0.003697906,0.002917112
eroute technologies private,1530.445084,615.6998739,0.003657434,0.00147139
shree kadi nagarik sahakari bank,1529.961087,1259.353837,0.003656277,0.003009584
paschim banga gramin,1528.296165,1765.368023,0.003652299,0.004218848
sbm bank india,1522.554052,1746.12247,0.003638576,0.004172856
sindhudurg district central co op bank ltd sindhudurg,1507.452002,1279.971583,0.003602486,0.003058856
ahmednagar merchants coop bank,1504.60324,1678.829447,0.003595678,0.00401204
the nasik merchants cooperative bank,1468.543324,1351.239327,0.003509502,0.00322917
au small finance bank credit card,1465.561354,8.818576787,0.003502376,2.11E-05
the ap mahesh cooperative urban bank,1463.346637,2204.454606,0.003497083,0.00526817
the karad urban coop bank,1446.762863,1273.395112,0.003457452,0.003043139
suvarnayug sahakari bank,1408.677051,1271.995989,0.003366435,0.003039796
the district cooperative central bank ltdmedak,1404.251179,1133.517206,0.003355858,0.002708861
vasai vikas sahakari,1357.336444,984.2567174,0.003243742,0.002352161
the cosmos coop bank,1335.365383,1627.903952,0.003191236,0.003890339
kalupur commcoop,1331.496485,1347.973874,0.00318199,0.003221366
pune peoples co operative bank,1306.701891,1016.85769,0.003122736,0.00243007
the kota central cooperative bank,1305.964937,1367.890608,0.003120975,0.003268963
mizoram cooperative apex bank,1289.644242,1099.133935,0.003081972,0.002626693
bhagini nivedita sahakari bank ltd pune,1259.977846,928.3488538,0.003011076,0.002218553
the national cooperative bank,1234.216785,1051.641956,0.002949512,0.002513197
rajarshi shahu sahakari bank,1228.60527,1160.495683,0.002936102,0.002773334
amreli jilla madhyastha sahakari bank,1202.816782,965.1353832,0.002874473,0.002306465
jammu and kashmir bank ltd jkb,1195.654369,1491.754464,0.002857356,0.003564971
vasai vikas sahakari bank,1182.029998,924.0270439,0.002824797,0.002208225
sadhana sahakari bank,1137.162182,924.7759035,0.002717573,0.002210015
jila sahakari kendriya bank mydt durg,1122.339752,613.6877105,0.00268215,0.001466581
darussalam cooperative urban bank,1117.183692,1113.889792,0.002669828,0.002661956
model coop bank,1114.35778,915.7906207,0.002663075,0.002188542
gadchiroli district central coop bank,1105.347811,691.7814853,0.002641543,0.001653208
baroda central coop bank,1096.600349,869.9076432,0.002620639,0.002078891
dhanera mercantile coop bank,1093.629371,1022.207612,0.002613539,0.002442855
the mehsana district central co op bank,1044.535462,650.2980336,0.002496215,0.001554072
