,remitter_value,remitter_value,beneficiary_value,beneficiary_value,remitter_cv,beneficiary_cv,avg_cv
,mean,std,mean,std,,,
entity name,,,,,,,
janata co operative bank,3.74760894395,1.6578540403254034,5.4046286352,6.594983434849451,0.44237647660697926,1.2202472880184119,0.8313118823126956
janata coop,0.9986567,,0.5111943,,,,
janata sahakari,647.6399945555555,62.39705329136621,542.6264122611111,54.84583531814135,0.09634527486861946,0.10107476171239081,0.09871001829050513
janata sahakari bank,164.53646327500002,44.97481546528958,133.307068555,35.13549476107076,0.2733425440786361,0.26356812989683676,0.26845533698773644
janata sahakari bank ltd ajara,19.6206276069,5.893676203461966,17.9597654872,5.313651047576681,0.30038163516183,0.29586416656518943,0.2981229008635097
janata sahakari bank ltd amravati,2.571297055,,3.1674027,,,,
janata sahakari bank ltd gondia,0.0,,16.54271622,,,,
janata sahakari bank ltdpune,543.3700966,,484.360721,,,,
janata urban coop bank ltd wai,2.2108646,,2.6054185,,,,
janatha seva co operative bank,8.503071350166667,3.212430280823135,8.967997402388889,2.4517635498664943,0.37779646301099995,0.27339030553391946,0.3255933842724597
janatha seva coop bank,32.07107574,,25.96557144,,,,
jankalyan cooperative bank,17.5238803,,16.60073714,,,,
jankalyan urban cooperative maryadit kallam,6.458841696444444,3.067381899542382,6.004611477111111,3.086117149329099,0.4749120730472398,0.5139578407517327,0.49443495689948624
janlaxmi coop,7.801079984,,7.467739643,,,,
janseva coop bank,0.69093976,,3.5081353,,,,
jansewa urban coop bank,4.9451117,,5.685730734,,,,
jath urban cooperative bank ltd jath,0.0,,2.5851089,,,,
jawahar sahakari bank,0.902776028,,0.7870731,,,,
jhalawar kendriya sahkari bank,0.0,,3.864444264,,,,
jhalawar nagrik sahkari bank,8.629799963,,2.56240318,,,,
jharkhand rajya gramin,45.25393987,,44.17365945,,,,
jharkhand rajya gramin erstwhile vananchal gramin,762.3390882277778,156.27085883340672,683.9627694222222,128.01264756213436,0.2049886477639395,0.18716318092909223,0.19607591434651586
jharkhand state,6.042916856,,78.66160436,,,,
jharneshwer nagrik sahkari bnk,0.0,,11.57292356,,,,
jhunjhunu kendriya sahakari bank,0.937385967,,1.46341337,,,,
jijamata mahila nagari sahakari bank maryadit,0.0,,1.381947,,,,
jijamata mahila sahakari bank,15.691714458421053,4.21394614283991,13.670617174421054,3.118900845322042,0.2685459357551889,0.22814630865077434,0.24834612220298163
jijamata mahila sahakari bank ltd pune,0.0,,20.16388028,,,,
jijau commercial co op bank ltd amravati,20.73632518,,22.97216938,,,,
jila sahakari bank maryadit datia,0.125636394,,4.2325601,,,,
jila sahakari kendriya,0.0,,81.69280732,,,,
jila sahakari kendriya bank maryadit,50.07238853989743,76.07114350125836,23.562648570179487,22.234819164111457,1.5192233827760233,0.9436468526824056,1.2314351177292144
jila sahakari kendriya bank maryadit balaghat,0.0,,2.0330993,,,,
jila sahakari kendriya bank maryadit hoshangabad,0.0,,18.61554056,,,,
jila sahakari kendriya bank maryadit panna,2.392939517333333,4.144692823460679,10.144494363333333,8.293547560086902,1.7320508075688772,0.8175417387054236,1.2747962731371505
jila sahakari kendriya bank maryadit seoni,0.928287859,0.9574464878433385,2.756470005666667,1.3353991847392261,1.031411192725013,0.4844599005227531,0.7579355466238831
jila sahakari kendriya bank maryadit sidhi,0.12989619733333332,0.22498681349132627,11.85448999,6.791263362337919,1.7320508075688776,0.5728853259876023,1.15246806677824
jila sahakari kendriya bank maryadit tikamgarh,0.14987385,,0.4621736,,,,
jila sahakari kendriya bank maryaditdamoh,0.7491441985,1.059449885691822,2.3279172785,1.7609842411785508,1.414213562373095,0.756463409349857,1.085338485861476
jila sahakari kendriya bank maryaditjhabua,1.399027717,,5.0704978,,,,
jila sahakari kendriya bank mydt durg,62.35220842222222,23.272268771038284,34.09376169611111,8.02895611568188,0.3732388853566907,0.2354963405694743,0.3043676129630825
jila sahakari kendriya bank mydt satna,0.163262487,0.23088802334216113,4.23989849,4.337075702843428,1.414213562373095,1.0229197026939738,1.2185666325335345
jila sahakari kendriya bank mydtvidisha jvu,1.29694854,1.1273301668426459,0.91052662,0.6652453784530314,0.8692173452330235,0.7306160674940305,0.7999167063635271
jila sahakri kendriya bank maryadit bhind,0.76361405,1.0799133459286467,2.743585924,1.7108806706251054,1.414213562373095,0.6235928882922441,1.0189032253326695
jila sahkari kendriya bank maryadit khargone,46.73169746805263,15.31504511601575,37.087224259473686,10.360441741240615,0.3277228507799365,0.2793533878069645,0.30353811929345054
jio payments bank,1760.1082202555556,737.6909390214075,2599.126664388889,1338.6843470408016,0.419116808007578,0.5150515999787011,0.46708420399313955
jivaji sahakari bank ltd ichalkaranji,3.767355183,,3.1369984,,,,
jivan commercial cooperative bank,6.703544396666667,1.0104268952569149,6.2222181195555555,0.7754260698585834,0.1507302458919119,0.12462212911204903,0.13767618750198046
jivan commlcoop bank,16.9557629,,26.1742736,,,,
